,Wechat,Taobao,Alipay
1,827763672,250491270,276105523
2,837943879,250439946,275651537
3,827201010,258994204,274520876
4,840411917,283996278,295628208
5,826116251,262579210,277461884
6,818039513,250713612,287064437
7,824515782,255959382,279556924
8,822515823,250501756,277430110
9,828088776,249011465,279063165
10,840911801,250308143,276090633
11,823662253,260051589,276048828
12,863190456,286998169,275305279
13,832053913,252570875,277416010
14,829207390,248400938,276063425
15,830748105,271075648,275899492
16,849925225,270650953,309404824
17,831586083,280429369,276315959
18,850002877,284340847,278457753
19,844663435,249886696,276672654
20,826210752,254672430,276925431
21,843615787,297505418,285086468
22,823353127,251794519,278709072
23,832477658,247557814,288306965
24,824046762,253498122,270895980
25,827087172,245158614,280498847
26,826648487,249600598,276643130
27,826012494,252194592,255878031
28,851451297,246619048,271414215
29,876775692,255756425,278723142
30,831536642,250085093,298881222
31,860438674,270196398,280791171
,,,
